Date,Open,High,Low,Last Close
2020-04-07,249,249,249,249
2020-04-08,248,249,248,249
2020-04-09,252,255,252,255
2020-04-14,257,257,257,257
2020-04-15,257,257,254,254
2020-04-16,258,258,258,258
2020-04-17,260,260,260,260
2020-04-20,263,263,263,263
2020-04-21,262,262,252,252
2020-04-22,258,258,258,258
2020-04-23,258,262,258,262
2020-04-24,260,260,259,259
2020-04-27,262,265,262,265
2020-04-28,274,274,266,266
2020-04-29,268,270,268,270
2020-04-30,266,266,266,266
2020-05-04,257,258,257,258
2020-05-05,263,267,263,267
2020-05-06,267,267,266,266
2020-05-07,266,268,266,268
2020-05-08,269,269,269,269
2020-05-11,271,272,270,270
2020-05-12,270,270,270,270
2020-05-13,264,264,262,262
2020-05-14,260,260,260,260
2020-05-15,265,265,261,261
2020-05-18,267,272,267,272
2020-05-19,273,273,271,271
2020-05-20,269,271,269,271
2020-05-21,269,269,269,269
2020-05-22,270,270,270,270
2020-05-25,272,275,272,275
2020-05-26,276,276,274,274
2020-05-27,277,277,273,273
2020-05-28,277,277,276,276
2020-05-29,273,273,272,272
2020-06-02,275,275,274,274
2020-06-03,276,277,276,277
2020-06-04,277,277,276,276
2020-06-05,278,284,278,284
2020-06-08,288,288,283,285
2020-06-09,287,287,283,283
2020-06-10,285,285,282,282
2020-06-11,278,278,272,272
2020-06-12,269,269,269,269
2020-06-15,268,268,268,268
2020-06-16,274,279,274,279
2020-06-17,278,278,278,278
2020-06-18,276,278,276,278
2020-06-19,279,281,279,281
2020-06-22,276,276,276,276
2020-06-23,278,279,278,279
2020-06-24,278,278,272,272
2020-06-25,271,273,271,273
2020-06-26,271,271,271,271
2020-06-29,270,270,270,270
2020-07-02,281,281,281,281
2020-07-06,282,283,282,282
2020-07-07,282,282,282,282
2020-07-08,280,280,279,279
2020-07-09,277,277,277,277
2020-07-10,278,280,278,280
2020-07-13,283,285,283,285
2020-07-14,282,282,278,278
2020-07-15,283,283,283,283
2020-07-16,282,282,282,282
2020-07-17,283,283,283,283
2020-07-20,281,284,281,284
2020-07-21,285,286,285,286
2020-07-22,284,284,283,283
2020-07-23,284,284,284,284
2020-07-24,278,278,278,278
2020-07-27,277,277,275,275
2020-07-28,276,277,276,277
2020-07-29,277,277,277,277
2020-07-30,277,277,275,275
2020-07-31,275,276,275,276
2020-08-03,278,281,278,281
2020-08-04,281,282,281,282
2020-08-05,282,282,281,281
2020-08-06,279,281,279,281
2020-08-07,282,284,282,284
2020-08-10,284,285,284,285
2020-08-11,287,287,287,287
2020-08-12,287,287,287,287
2020-08-13,287,287,287,287
2020-08-14,287,287,287,287
2020-08-17,287,287,287,287
2020-08-18,286,286,285,285
2020-08-19,286,286,286,286
2020-08-20,286,286,286,286
2020-08-21,287,289,287,289
2020-08-24,290,291,290,291
2020-08-25,293,293,292,292
2020-08-26,292,294,292,294
2020-08-27,294,297,294,297
2020-08-28,297,297,295,295
2020-08-31,296,296,294,294
2020-09-01,293,295,293,295
2020-09-02,298,302,298,302
2020-09-03,305,305,295,295
2020-09-04,292,294,287,287
2020-09-07,289,292,289,292
2020-09-08,292,293,287,287
2020-09-09,285,289,285,289
2020-09-10,289,289,288,288
2020-09-11,286,286,285,285
2020-09-14,287,288,287,288
2020-09-15,287,290,287,290
2020-09-16,290,291,290,291
2020-09-17,285,286,285,286
2020-09-18,285,285,283,283
2020-09-21,281,281,277,277
2020-09-22,282,282,282,282
2020-09-23,284,284,284,284
2020-09-24,280,280,280,280
2020-09-25,281,283,281,283
2020-09-28,288,289,288,289
2020-09-29,289,289,286,286
2020-09-30,284,290,284,290
2020-10-01,290,290,290,290
2020-10-02,286,288,286,288
2020-10-05,289,290,288,290
2020-10-06,291,291,291,291
2020-10-07,291,291,291,291
2020-10-08,294,294,294,294
2020-10-09,296,296,295,295
2020-10-12,297,301,297,301
2020-10-13,301,302,301,302
2020-10-14,302,302,300,300
2020-10-15,298,298,298,298
2020-10-16,300,301,300,301
2020-10-19,301,301,297,297
2020-10-20,295,295,293,293
2020-10-21,294,294,292,292
2020-10-22,291,293,291,293
2020-10-23,294,294,294,294
2020-10-27,290,290,289,289
2020-10-28,288,288,282,283
2020-10-29,285,285,285,285
2020-10-30,283,283,283,283
2020-11-02,280,287,280,287
2020-11-03,288,291,288,291
2020-11-04,290,298,290,298
2020-11-05,299,300,299,300
2020-11-06,298,298,297,297
2020-11-09,302,308,302,308
2020-11-10,304,304,302,302
2020-11-11,303,306,303,306
2020-11-12,304,304,304,304
2020-11-13,303,304,303,304
2020-11-16,307,309,307,309
2020-11-17,308,308,307,307
2020-11-18,307,307,307,307
2020-11-19,304,304,303,303
2020-11-23,304,304,304,304
2020-11-24,307,308,306,308
2020-11-25,308,308,307,307
2020-11-26,307,308,307,307
2020-11-27,307,307,307,307
2020-11-30,305,305,304,304
2020-12-01,308,309,307,307
2020-12-02,306,306,306,306
2020-12-03,305,305,305,305
2020-12-04,305,307,305,307
2020-12-07,307,307,307,307
2020-12-08,307,308,306,308
2020-12-09,309,309,309,309
2020-12-10,307,307,306,306
2020-12-11,305,305,304,304
2020-12-14,306,306,306,306
2020-12-15,305,305,304,305
2020-12-16,307,307,307,307
2020-12-17,308,308,306,306
2020-12-18,306,306,305,305
2020-12-21,305,305,303,303
2020-12-22,304,310,304,310
2020-12-23,310,310,306,306
2020-12-28,309,309,309,309
2020-12-29,308,308,308,308
2020-12-30,308,308,308,308
2021-01-04,311,311,304,304
